"","address","availability","groups","languages","billing","zipcode"
"2060","Cabinet de psychothérapie - Berger Place Blaise-Cendrars 5 2000 Neuchâtel Switzerland","No date currently available","Adults Young adults Teenagers","French English Spanish","Partially covered by supplementary insurance Covered by basic insurance",2000
"2061","Cabinet Droz-Imesch-Vogt Chemin de Lucinge 5 1006 Lausanne Switzerland","No date currently available","Adults Young adults","French","Covered by basic insurance",1006
"2062","Praxis für Psychotherapie Udry Marktgasse 50 3011 Bern Switzerland","No date currently available","Older adults Adults Young adults","German","Covered by basic insurance",3011
"2063","Ambulante Reha St. Gallen Wassergasse 44 9000 St. Gallen Switzerland","No date currently available","Adults Young adults","German Swiss German English","Covered by basic insurance",9000
"2064","Engel & Wächter, studio di psicologia, psicoterapia e sessuologia clinica Via Francesco Borromini 3 6900 Lugano Switzerland","Less than two weeks","Adults Young adults Couples Families Teenagers Children","Italian English","Covered by basic insurance To be paid by yourself",6900
"2065","Associazione Triangolo Via Ciseri 19 6600 Locarno Switzerland Medicentro - Clinica Sant'Anna Via Sant'Anna 1 6924 Lugano Switzerland","Less than two weeks","Adults Young adults Older adults","Italian","Covered by basic insurance",6600
"2066","Cabinet de psychothérapie Chemin du Petit Dévin 28 1083 Mézières Switzerland","At least four weeks","Adults Young adults Teenagers Children","French","Covered by basic insurance",1083
"2067","Route des Acacias 25 1227 Les Acacias Switzerland","Less than two weeks","Older adults Adults Young adults","French","Covered by basic insurance",1227
"2068","Praxis Winkelried Universitätstrasse 87 8006 Zürich Switzerland","At least four weeks","Adults Young adults Senior management","German Swiss German French English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8006
"2069","Praxis am See Brienz GmbH Seestrasse 9 3855 Brienz Switzerland","No date currently available","Adults Young adults","German Swiss German Italian English","Covered by basic insurance",3855
"2070","Zürich 8047 Zürich Switzerland","At least four weeks","Adults Young adults Families","German Swiss German English","To be paid by yourself",8047
"2071","Scheibenackerstrasse 2 9000 St.Gallen Switzerland","No date currently available","Young adults Couples Adults Teenagers","German Swiss German","Covered by basic insurance",9000
"2072","Resalio Rue du Milieu 14c 2502 Bienne Switzerland","At least four weeks","Adults Young adults Families Teenagers Children","French Italian Spanish","Covered by basic insurance",2502
"2073","Hôpital de La Tour - Médecine du sport Av. J.-D. Maillard 3 1217 Meyrin Switzerland The Difference in Mind 24 rue Joseph-Girard 1227 Carouge Switzerland","Less than two weeks","Teenagers Teams Adults Children Groups Young adults Senior management","French English","Partially covered by supplementary insurance",1217
"2074","ESPACE ARCANA Route de la Glâne 143b 1752 Villars-sur-Glâne Switzerland","Two to four weeks","Older adults Adults Young adults Senior management Groups","French","Partially covered by supplementary insurance",1752
"2075","Rue de la morâche 14 1260 Nyon Switzerland","Two to four weeks","Young adults Families Teenagers Children","French Italian English Spanish","Covered by basic insurance",1260
"2076","PErJuKi - Psychotherapie für Erwachsenen, Jugendliche und Kinder Zelgstrasse 6 8003 Zurich Switzerland","At least four weeks","Older adults Couples Teams Adults Young adults","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8003
"2077","Cabinet de psychothérapie Avenue de la Gare 17 1003 Lausnne Switzerland","At least four weeks","Adults Teenagers Children","French English","Covered by basic insurance",1003
"2078","Psy·Morges 26 Avenue de Morges 26 1004 Lausanne Switzerland","Two to four weeks","Older adults Adults Young adults Teenagers","French","Covered by basic insurance To be paid by yourself",1004
"2079","Praxis Gubelhof Gubelstrasse 54 8050 Zürich Switzerland","No date currently available","Older adults Adults Couples Groups Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8050
"2080","Praxis für Psychotherapie & Yoga c/o NHK Health Hub Militärstrasse 90 8004 Zürich Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German English","Covered by basic insurance To be paid by yourself",8004
"2081","Psychotherapie Fischer Ausstellungsstrasse 39 8005 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Families Teenagers Children",NA,"Covered by basic insurance",8005
"2082","Praxis für Psychotherapie Fröbelstrasse 33 8032 Zürich Switzerland","No date currently available","Adults Young adults Families","German Swiss German","Covered by basic insurance",8032
"2083","Kompetenzzentrum Neuropsychologie Konradstrasse 15 5000 Aarau Switzerland","At least four weeks","Older adults Adults Young adults","German English","Covered by basic insurance",5000
"2084","Praxis für Psychotherapie Vanessa Ribolla Freiestrasse 1 8610 Uster Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German English","Covered by basic insurance To be paid by yourself",8610
"2085","Psychotherapie & Beratung, lic. phil. Andrea Stäheli Ferrachstrasse 30 8630 Rüti Switzerland","No date currently available","Older adults Adults Young adults Couples","German Swiss German","Covered by basic insurance",8630
"2086","Rue des terreaux 5 1003 Lausanne Switzerland","At least four weeks","Older adults Adults Young adults Couples Families","French","Covered by basic insurance",1003
"2087","Cabinet Le Miroir Grand-Rue 68 1110 Morges Switzerland","No date currently available","Older adults Adults Young adults Senior management","French English","Covered by basic insurance To be paid by yourself",1110
"2088","Sonia Dal Ben psicoterapia Via Campagna 5 A 6512 Giubiasco Switzerland","Less than two weeks","Adults Teenagers","Italian","Covered by basic insurance",6512
"2089","Sophienstrasse 2 8032 Zürich Switzerland","Less than two weeks","Adults Young adults Couples Teams Groups Senior management","German English","Partially covered by supplementary insurance To be paid by yourself",8032
"2090","Amphipsy Chemin des Croix-Rouges 14 1007 Lausanne Switzerland","At least four weeks","Older adults Couples Families Teams Adults Children Young adults Teenagers","French","Covered by basic insurance",1007
"2091","Praxis für Einzel-, Paar-und Familientherapie Nina Gubser Dufourstrasse 161 8008 Zürich Switzerland","At least four weeks","Adults Couples Families","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"2092","CP Cabinet de psychothérapie Avenue du Théâtre 7 1005 Lausanne Switzerland","Less than two weeks","Older adults Adults Young adults Teenagers","French","Partially covered by supplementary insurance Covered by basic insurance",1005
"2093","Psychotherapie N. Gempeler Effingerstrasse 6A 3011 Bern Switzerland","No date currently available","Adults","German Swiss German French English","Covered by basic insurance To be paid by yourself",3011
"2094","Praxis für Psychotraumatologie und Psychotherapie Bahnhofstrasse 2 9230 Flawil Switzerland","At least four weeks","Young adults Adults Teenagers Older adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",9230
"2095","Psychothérapie, Développement personnel & Carrière Bollwerk 21 3011 Bern Switzerland","Less than two weeks","Adults Young adults Senior management Older adults Teenagers","German Swiss German French","Covered by basic insurance",3011
"2096","Cabinet Pauline Godat Rue de la Brasserie 22 2800 Delémont Switzerland","Two to four weeks","Adults Young adults Couples Families","German Swiss German French","Covered by basic insurance",2800
"2097","Cabinet Emergences Sàrl rue du Kirlou 27 2800 Delémont Switzerland","Less than two weeks","Older adults Adults Young adults Families","French","Partially covered by supplementary insurance To be paid by yourself",2800
"2098","Praxis für Psychotherapie Gurzelngasse 34 4500 Solothurn Switzerland","At least four weeks","Older adults Adults Young adults Senior management","German English","Covered by basic insurance To be paid by yourself",4500
"2099","Praxis für Psychotherapie & psychologische Beratung Hutgasse 2 4001 Basel Switzerland","No date currently available","Older adults Adults Young adults Senior management","German Swiss German","To be paid by yourself",4001
"2100","Avenue Alfred Cortot 7E, 1260 Nyon 1260 Nyon Switzerland","No date currently available","Families Children Teenagers Adults","French English Swedish","Partially covered by supplementary insurance",1260
"2101","Cabinet du 6 Rue de la Délèze 6 1920 Martigny Switzerland","No date currently available","Young adults Families Teenagers Children","French","Covered by basic insurance",1920
"2102","Praxis Seidenweg Seidenweg 3 3012 Bern Switzerland","No date currently available","Older adults Adults Young adults","German","Covered by basic insurance",3012
"2103","Engel & Wächter Via Francesco Borromini 3 6900 Lugano Switzerland","Two to four weeks","Adults Teenagers Children","Italian English","Covered by basic insurance",6900
"2104","Studio Sinergie via San Gottardo 58 6828 Balerna Switzerland","Two to four weeks","Adults Teenagers Groups","Italian","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6828
"2105","Lausanne Therapy Space Rue du Grand-Pont 18 1003 Lausanne Switzerland","At least four weeks","Adults","French Arabic English","Partially covered by supplementary insurance",1003
"2106","Scan-compétences Route du Grand-Lancy 6a 1227 Genève Switzerland","Two to four weeks","Teams Groups Senior management","French Italian English","To be paid by yourself",1227
"2107","Service psychologique pour enfants et adolescents SPE Grand-Rue 4 2710 Tavannes Switzerland","No date currently available","Adults Young adults Families Teenagers Children","French Spanish","Covered by basic insurance",2710
"2108","Praxis am Falkenweg - Zentrum für mentale und körperliche Gesundheit Falkenweg 3a 3012 Bern Switzerland","No date currently available","Older adults Adults","German Italian English","Covered by basic insurance",3012
